tijdstip;locatie;component;waarde;LKI
2015-08-03 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;27,4;3
2015-08-03 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,77;2
2015-08-03 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,93;1
2015-08-03 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,31;3
2015-08-03 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,35;3
2015-08-03 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,14;2
2015-08-03 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,9;4
2015-08-03 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;6,51;1
2015-08-04 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;6,76;1
2015-08-04 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;43,59;4
2015-08-04 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,15;1
2015-08-04 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;36,71;4
2015-08-04 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;37,31;4
2015-08-04 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,22;1
2015-08-04 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;31,14;4
2015-08-04 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,54;1
2015-08-04 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,12;1
2015-08-04 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,26;3
2015-08-04 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,15;3
2015-08-04 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,18;1
2015-08-04 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,38;1
2015-08-04 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,34;2
2015-08-04 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,77;2
2015-08-04 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,77;1
2015-08-04 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;32,59;4
