tijdstip;locatie;component;waarde;LKI
2015-08-03 01:00:00+02:00;Den Haag-Bleriotlaan;O3;97,61;6
2015-08-03 01:00:00+02:00;Den Haag-Bleriotlaan;NO2;11,79;2
2015-08-03 01:00:00+02:00;Den Haag-Bleriotlaan;PM10;19,79;2
2015-08-03 01:00:00+02:00;Den Haag-Bleriotlaan;NO;0,51;1
2015-08-03 02:00:00+02:00;Den Haag-Bleriotlaan;O3;89,55;6
2015-08-03 02:00:00+02:00;Den Haag-Bleriotlaan;PM10;23,63;3
2015-08-03 02:00:00+02:00;Den Haag-Bleriotlaan;NO;0,45;1
2015-08-03 02:00:00+02:00;Den Haag-Bleriotlaan;NO2;11,1;2
2015-08-03 03:00:00+02:00;Den Haag-Bleriotlaan;NO;0,5;1
2015-08-03 03:00:00+02:00;Den Haag-Bleriotlaan;PM10;24,91;3
2015-08-03 03:00:00+02:00;Den Haag-Bleriotlaan;O3;78,92;5
2015-08-03 03:00:00+02:00;Den Haag-Bleriotlaan;NO2;11,8;2
2015-08-03 04:00:00+02:00;Den Haag-Bleriotlaan;NO2;14,16;2
2015-08-03 04:00:00+02:00;Den Haag-Bleriotlaan;O3;70,04;5
2015-08-03 04:00:00+02:00;Den Haag-Bleriotlaan;NO;0,6;1
2015-08-03 04:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-03 05:00:00+02:00;Den Haag-Bleriotlaan;PM10;15,95;2
2015-08-03 05:00:00+02:00;Den Haag-Bleriotlaan;O3;61,17;5
2015-08-03 05:00:00+02:00;Den Haag-Bleriotlaan;NO;0,52;1
2015-08-03 05:00:00+02:00;Den Haag-Bleriotlaan;NO2;17,08;2
2015-08-03 06:00:00+02:00;Den Haag-Bleriotlaan;NO;0,7;1
2015-08-03 06:00:00+02:00;Den Haag-Bleriotlaan;O3;54,78;4
2015-08-03 06:00:00+02:00;Den Haag-Bleriotlaan;PM10;27,47;3
2015-08-03 06:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,42;2
2015-08-03 07:00:00+02:00;Den Haag-Bleriotlaan;O3;46,88;4
2015-08-03 07:00:00+02:00;Den Haag-Bleriotlaan;NO;1,9;1
2015-08-03 07:00:00+02:00;Den Haag-Bleriotlaan;NO2;30,36;4
2015-08-03 07:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-03 08:00:00+02:00;Den Haag-Bleriotlaan;NO2;50,64;5
2015-08-03 08:00:00+02:00;Den Haag-Bleriotlaan;O3;36,42;3
2015-08-03 08:00:00+02:00;Den Haag-Bleriotlaan;NO;7,69;1
2015-08-03 08:00:00+02:00;Den Haag-Bleriotlaan;PM10;9,55;1
2015-08-03 09:00:00+02:00;Den Haag-Bleriotlaan;NO;13,93;2
2015-08-03 09:00:00+02:00;Den Haag-Bleriotlaan;NO2;61,64;6
2015-08-03 09:00:00+02:00;Den Haag-Bleriotlaan;PM10;3,15;1
